iter	Logloss
0	0.6737110001
1	0.6552367538
2	0.6362704077
3	0.6184048227
4	0.6016478866
5	0.5864167668
6	0.5726693334
7	0.5578138772
8	0.5445353816
9	0.5316962139
10	0.5182282903
11	0.5041756185
12	0.4915927046
13	0.4806651893
14	0.4686211689
15	0.4584324294
16	0.4471366374
17	0.4376854217
18	0.4284585024
19	0.4199977777
20	0.4130485339
21	0.4046622721
22	0.3973368327
23	0.3884121469
24	0.3802550644
25	0.3743398187
26	0.3673888534
27	0.3614952674
28	0.3556609325
29	0.3492156826
30	0.3431629983
31	0.3381807767
32	0.3335397887
33	0.328482666
34	0.3237607672
35	0.3186726575
36	0.3131869116
37	0.3084496131
38	0.3035947516
39	0.2996819599
40	0.2960876778
41	0.291909524
42	0.288393273
43	0.2849379319
44	0.2816656964
45	0.2783489834
46	0.2748296337
47	0.2708460725
48	0.2676557492
49	0.2645806415
50	0.2615872271
51	0.2585878343
52	0.2560089737
53	0.2528962903
54	0.2505724159
55	0.2478099177
56	0.2454146791
57	0.2431274884
58	0.2407708271
59	0.2387112349
60	0.2362979987
61	0.2342788931
62	0.2325848389
63	0.2308062744
64	0.2286860539
65	0.2270868702
66	0.2252575997
67	0.2236224991
68	0.2216744134
69	0.2201262019
70	0.2185707757
71	0.2168032446
72	0.2156008989
73	0.2143133388
74	0.2129193585
75	0.2112937262
76	0.2095874336
77	0.2082166779
78	0.2064782089
79	0.2053500444
80	0.2040964762
81	0.202688896
82	0.2012927246
83	0.2000626315
84	0.1987949313
85	0.1976914782
86	0.1962269944
87	0.1950771703
88	0.1940662404
89	0.192959673
90	0.1920893899
91	0.1910983198
92	0.1901487536
93	0.1892630083
94	0.1882230006
95	0.1873504482
96	0.1864303354
97	0.1856003668
98	0.1848758639
99	0.1839599609
100	0.183108724
101	0.1823276148
102	0.181479054
103	0.1806491324
104	0.179772871
105	0.178924404
106	0.1779577637
107	0.1772159205
108	0.1766326122
109	0.1757599346
110	0.1750861065
111	0.1743290202
112	0.1736079915
113	0.1729028477
114	0.1722809307
115	0.1715591509
116	0.1705922601
117	0.1699133301
118	0.1692951848
119	0.1687637407
120	0.1681287873
121	0.1672613525
122	0.1667441344
123	0.1663462008
124	0.1657603102
125	0.1651028521
126	0.1645403583
127	0.1636989652
128	0.1631198355
129	0.1624732697
130	0.1619004
131	0.1612407195
132	0.1605977689
133	0.16008595
134	0.1596635398
135	0.1590683218
136	0.1585549536
137	0.1579621144
138	0.157484663
139	0.1569307298
140	0.156503781
141	0.1558768561
142	0.1554835862
143	0.1550662936
144	0.1547627454
145	0.1541944298
146	0.1537428949
147	0.1533017829
148	0.1526867676
149	0.1523249543
150	0.1518504607
151	0.1514421825
152	0.1509702868
153	0.1505038687
154	0.150093822
155	0.1496274821
156	0.1492349321
157	0.1487179644
158	0.1482764141
159	0.1477128405
160	0.1474194805
161	0.1469731258
162	0.1465921881
163	0.1462265562
164	0.1459062156
165	0.1455108486
166	0.1451079227
167	0.1447208346
168	0.144414532
169	0.1440441895
170	0.1437684044
171	0.1433618008
172	0.1430771735
173	0.1426774089
174	0.1424599202
175	0.1421300331
176	0.1417757474
177	0.1414152957
178	0.141096927
179	0.1407524226
