iter	Passed	Remaining
403	9073	13386
404	9094	13360
405	9114	13335
406	9136	13311
407	9156	13286
408	9178	13263
409	9201	13241
410	9223	13218
411	9244	13193
412	9265	13169
413	9286	13145
414	9308	13121
415	9329	13096
416	9350	13072
417	9371	13048
418	9394	13026
419	9416	13004
420	9438	12981
421	9460	12957
422	9481	12932
423	9502	12909
424	9523	12884
425	9544	12860
426	9565	12836
427	9587	12813
428	9611	12792
429	9633	12770
430	9655	12747
431	9676	12722
432	9696	12697
433	9717	12673
434	9738	12649
435	9759	12624
436	9779	12599
437	9800	12575
438	9823	12552
439	9846	12531
440	9868	12509
441	9888	12484
442	9909	12459
443	9933	12439
444	9955	12416
445	9979	12395
446	10000	12371
447	10022	12348
448	10046	12329
449	10072	12310
450	10094	12287
451	10115	12264
452	10139	12243
453	10161	12220
454	10181	12195
455	10202	12171
456	10223	12147
457	10247	12127
458	10275	12110
459	10298	12089
460	10319	12065
461	10342	12044
462	10364	12021
463	10385	11997
464	10406	11972
465	10427	11949
466	10449	11926
467	10472	11904
468	10494	11882
469	10516	11858
470	10537	11835
471	10558	11810
472	10579	11787
473	10601	11764
474	10621	11739
475	10642	11715
476	10664	11692
477	10688	11671
478	10710	11649
479	10731	11625
480	10752	11601
481	10772	11577
482	10794	11554
483	10815	11530
484	10836	11506
485	10857	11482
486	10883	11464
487	10908	11444
488	10931	11423
489	10953	11401
490	10975	11377
491	10996	11354
492	11017	11330
493	11038	11306
494	11058	11282
495	11079	11258
496	11108	11242
497	11135	11224
498	11159	11204
499	11184	11184
500	11207	11162
501	11229	11139
502	11250	11116
503	11271	11092
504	11292	11069
505	11314	11046
506	11344	11030
507	11372	11014
508	11393	10990
509	11415	10968
510	11452	10959
511	11474	10936
512	11496	10913
513	11519	10892
514	11542	10870
515	11563	10846
516	11584	10822
517	11604	10798
518	11625	10774
519	11645	10750
520	11666	10726
521	11691	10705
522	11713	10683
523	11736	10661
524	11757	10637
525	11779	10615
526	11800	10591
527	11820	10567
528	11841	10543
529	11861	10518
530	11882	10494
531	11903	10471
532	11925	10449
533	11948	10427
534	11970	10404
535	11992	10381
536	12013	10358
537	12034	10334
538	12055	10310
539	12076	10287
540	12096	10263
541	12117	10239
542	12137	10215
543	12160	10193
544	12182	10170
545	12204	10147
546	12224	10124
547	12245	10100
548	12266	10076
549	12286	10052
550	12307	10029
551	12328	10005
552	12349	9982
553	12371	9959
554	12394	9937
555	12420	9918
556	12447	9900
557	12478	9884
558	12512	9870
559	12537	9851
560	12562	9830
561	12591	9812
562	12619	9795
563	12644	9774
564	12668	9753
565	12691	9731
566	12713	9708
567	12736	9687
568	12760	9665
569	12784	9644
570	12809	9623
571	12832	9602
572	12855	9579
573	12878	9557
574	12901	9535
575	12923	9513
576	12947	9491
577	12969	9469
578	12992	9447
579	13016	9425
580	13045	9408
581	13071	9388
582	13101	9371
583	13125	9349
584	13149	9328
585	13175	9308
586	13200	9287
587	13226	9267
588	13252	9247
589	13274	9224
590	13296	9201
591	13317	9178
592	13339	9155
593	13360	9131
594	13381	9108
595	13403	9085
596	13424	9062
597	13450	9042
598	13474	9020
599	13497	8998
600	13519	8975
601	13542	8953
602	13564	8930
603	13585	8907
604	13606	8883
605	13627	8860
606	13648	8836
607	13672	8814
608	13696	8793
609	13719	8771
610	13740	8748
611	13761	8724
612	13781	8700
613	13803	8677
614	13824	8654
615	13845	8630
616	13866	8607
617	13888	8584
618	13911	8562
619	13936	8541
620	13958	8518
621	13978	8495
622	13999	8471
623	14020	8448
624	14041	8425
625	14062	8401
626	14083	8378
627	14106	8356
628	14130	8334
629	14151	8311
630	14172	8287
631	14193	8264
632	14214	8241
633	14236	8218
634	14257	8195
635	14278	8171
636	14299	8148
637	14322	8126
638	14346	8104
639	14367	8081
640	14389	8058
641	14410	8036
642	14432	8013
643	14454	7990
644	14477	7968
645	14500	7946
646	14523	7923
647	14550	7903
648	14575	7882
649	14599	7861
650	14625	7840
651	14648	7818
652	14672	7796
653	14694	7774
654	14717	7751
655	14739	7729
656	14761	7706
657	14783	7683
658	14803	7660
659	14828	7639
660	14851	7616
661	14873	7593
662	14894	7570
